1,UESTC_Vici,×(1),√(1),√(2),√(1),√(1),√(3),√(2),,√(2),√(0),√(2),√(0),√(0)
2,SET,,√(1),√(1),√(0),√(0),√(6),√(0),,√(6),√(0),√(1),√(0),√(7)
3,UESTC_moyu,,√(1),√(1),√(1),√(1),√(5),√(2),,√(1),√(0),√(3),√(1),√(1)
4,UESTC_'or 1=1#,,√(4),√(1),√(0),√(0),√(1),√(1),,√(2),√(1),√(1),√(2),√(6)
5,三次元通关后爱红茶gal双马尾的我决定与包↑包↓二次元重生好不好啊爱汤姐的乐警官(赞赏),,√(3),√(1),√(2),√(1),√(2),√(0),,√(1),√(0),√(5),√(0),√(9)
6,崔翱翔,,√(1),√(1),√(0),√(0),√(4),√(1),,×(10),√(0),√(7),√(0),√(6)
7,Je vole,,√(3),√(1),,√(0),√(0),√(0),,√(1),√(0),,√(0),√(1)
8,UESTC_continue,×(2),√(3),√(11),×(1),√(1),√(8),√(0),×(1),√(8),√(0),×(1),√(0),√(5)
9,UESTC_Team,×(1),√(3),√(1),,√(1),√(9),√(0),,√(17),√(0),,√(0),√(8)
10,罗老大的大米,,√(0),√(4),√(3),√(0),√(0),√(1),,,√(0),,√(0),√(0)
11,La Vie En Rose,,√(2),√(0),,√(0),×(12),√(6),,√(1),√(0),√(0),√(0),√(1)
12,曲水流觞,,√(0),√(0),√(1),√(0),√(7),√(0),,,√(0),,√(0),√(4)
13,Gao,,√(1),√(1),,√(1),√(11),√(0),,√(3),√(0),,√(0),√(14)
14,毕加思索,,√(5),√(4),×(2),√(2),√(2),√(4),,,√(0),,√(1),√(3)
15,UESTC_Main,,√(3),√(7),,√(2),√(20),√(0),,,√(0),,√(1),√(7)
16,sorry真的可以为所欲为,,√(3),√(5),,√(2),√(2),√(0),,,√(0),,√(0),×(8)
17,772002,,√(0),√(1),,√(2),√(1),√(0),,,√(0),,√(2),×(2)
18,My all,,√(2),√(3),√(3),√(1),×(3),√(0),,,√(1),,√(0),
19,头条猛男,,√(2),√(4),,√(0),√(7),√(0),,,√(2),,√(0),×(30)
20,在AC的边缘试探,,√(1),√(1),,√(0),,√(0),,×(9),√(0),,√(0),√(3)
